precinct_psid,county_psid,geoid,fraction
1158848819,1158855947,05000US37061,0.089750900816366
1158848819,1158856001,05000US37141,8.06704082532342e-06
1158848819,1158856007,05000US37133,0.000572963245661395
1158848819,1158856033,05000US37103,0
1158848821,1158855859,05000US37063,0
1158848821,1158856027,05000US37183,0.00150553569808237
1158848823,1158855985,05000US37071,0.0105542327377152
1158848823,1158856013,05000US37119,0
1158848825,1158856019,05000US37023,0
1158848825,1158856025,05000US37111,0.0299770375964764
1158848827,1158856021,05000US37191,0.0141554745945287
1158848831,1158856003,05000US37179,0
1158848831,1158856013,05000US37119,0.00231082952877813
1158848833,1158855899,05000US37083,5.90796988772195e-05
1158848833,1158856009,05000US37065,0.108295927848859
1158848833,1158856045,05000US37127,2.20933601663176e-05
1158848835,1158855853,05000US37155,1.77462978724534e-05
1158848835,1158855969,05000US37017,0.0380687502944376
1158848837,1158855879,05000US37093,0
1158848837,1158855913,05000US37125,0.0101550954921959
1158848839,1158855877,05000US37153,3.44641498442606e-06
1158848839,1158855913,05000US37125,0.0646489318544142
1158848839,1158856053,05000US37123,0.000112629986450773
1158848841,1158855875,05000US37051,0.00267748526368024
1158848845,1158856017,05000US37197,6.59223574168158e-05
1158848845,1158856059,05000US37171,0.0376788345011825
1158848849,1158855911,05000US37045,0.0273282509298455
1158848849,1158855985,05000US37071,7.3925143418572e-05
1158848851,1158855859,05000US37063,0.00451682846869475
1158848851,1158855941,05000US37135,0
1158848851,1158856027,05000US37183,0
1158848853,1158855951,05000US37081,0.0192745931728426
1158848855,1158855869,05000US37131,0
1158848855,1158855899,05000US37083,0.0251346029630508
1158848857,1158855883,05000US37029,0
1158848857,1158855893,05000US37139,0
1158848857,1158855981,05000US37143,0.0358711425430158
1158848857,1158856035,05000US37041,1.89334410275609e-05
1158848859,1158855997,05000US37129,0.000705182823496525
1158848859,1158856051,05000US37019,0.0518698079976149
1158848861,1158855851,05000US37069,0
1158848861,1158856027,05000US37183,0.00197774154784296
1158848863,1158855927,05000US37107,0.0108418253544708
1158848867,1158855845,05000US37001,0.027498506528795
1158848867,1158855941,05000US37135,3.53223096188419e-10
1158848869,1158855997,05000US37129,0.00605976523946174
1158848869,1158856051,05000US37019,0
1158848871,1158856067,05000US37047,0.0148798392936334
1158848873,1158856003,05000US37179,0
1158848873,1158856013,05000US37119,0.00253771802691692
1158848875,1158855881,05000US37025,0.0118142662180524
1158848875,1158856013,05000US37119,0
1158848877,1158855997,05000US37129,0.000674647424497627
1158848877,1158856001,05000US37141,0.0657695902421418
1158848877,1158856007,05000US37133,0
1158848879,1158855951,05000US37081,0.00789233977941662
1158848881,1158855951,05000US37081,0.00117990049776923
1158848885,1158855951,05000US37081,0.00210418680749936
1158848887,1158855847,05000US37057,0.0316272422012153
1158848887,1158855873,05000US37159,8.92140962030136e-06
1158848889,1158855875,05000US37051,0.00299974271475517
1158848891,1158856027,05000US37183,0.00159605205217606
1158848893,1158855869,05000US37131,7.34573461105232e-05
1158848893,1158855959,05000US37091,0.0328443195601817
1158848895,1158855951,05000US37081,0.00115957932842298
1158848897,1158855951,05000US37081,0.0010021834103962
1158848899,1158855987,05000US37101,0
1158848899,1158856027,05000US37183,0.00123812132375926
1158848903,1158855987,05000US37101,0
1158848903,1158856027,05000US37183,0.00245066897016371
1158848905,1158855895,05000US37193,0.0399388518864594
1158848905,1158855955,05000US37097,0.000122575407398848
1158848905,1158856017,05000US37197,3.11175001499772e-05
1158848907,1158855887,05000US37169,0.0383593387605923
1158848907,1158855915,05000US37067,1.03156095156433e-05
1158848907,1158856039,05000US37157,1.1927427385808e-05
1158848909,1158855875,05000US37051,0
1158848909,1158855901,05000US37163,0.0275515153427209
1158848911,1158855889,05000US37031,0.0210939413604599
1158848913,1158855873,05000US37159,0.0157748945600259
1158848913,1158855881,05000US37025,5.4408089225466e-06
1158848913,1158855955,05000US37097,0
1158848913,1158856013,05000US37119,0
1158848915,1158855847,05000US37057,0.000125710417176605
1158848915,1158855915,05000US37067,0.029799190869723
1158848915,1158855951,05000US37081,4.21687897388399e-09
1158848917,1158855987,05000US37101,0
1158848917,1158856027,05000US37183,0.00232584344095986
1158848921,1158855997,05000US37129,0.0135306566250942
1158848921,1158856001,05000US37141,0
1158848923,1158855847,05000US37057,0.0258027932170819
1158848923,1158855865,05000US37151,2.30157010714814e-06
1158848923,1158855951,05000US37081,8.60779886046414e-07
1158848925,1158855847,05000US37057,0.00409558850112229
1158848925,1158855865,05000US37151,2.68111520495033e-10
1158848927,1158855863,05000US37115,2.37032146340852e-06
1158848927,1158855949,05000US37087,3.0732809830084e-05
1158848927,1158856037,05000US37021,0.0472668389127364
1158848929,1158855855,05000US37109,2.08537994642507e-05
1158848929,1158855985,05000US37071,0
1158848929,1158856013,05000US37119,0.0204265444953451
1158848931,1158855873,05000US37159,0.0474494234727088
1158848931,1158856023,05000US37059,2.57048524637431e-05
1158848933,1158856027,05000US37183,0.00230121409802907
1158848935,1158855987,05000US37101,0
1158848935,1158856027,05000US37183,6.83763684885014e-06
1158848941,1158855951,05000US37081,0.00241334004959246
1158848943,1158855887,05000US37169,0.0750597713690163
1158848945,1158855883,05000US37029,0.380334786673218
1158848945,1158855893,05000US37139,0.000248662713839406
1158848945,1158855931,05000US37073,1.09172686719429e-05
1158848945,1158855981,05000US37143,0
1158848945,1158856031,05000US37053,0.000195343626384316
1158848947,1158855955,05000US37097,0.0100450435132081
1158848949,1158855951,05000US37081,0.00148539447001049
1158848951,1158855927,05000US37107,0.0929543892443119
1158848951,1158855943,05000US37049,0
1158848951,1158855995,05000US37079,0.000740028539989742
1158848951,1158855999,05000US37147,5.935994507475e-05
1158848953,1158855855,05000US37109,0.023915900415857
1158848953,1158855973,05000US37035,0.000276832378172474
1158848957,1158855985,05000US37071,0.0113138275501595
1158848959,1158855897,05000US37003,0.0573575568185657
1158848961,1158855845,05000US37001,0.0703718545322728
1158848961,1158855951,05000US37081,2.5522492259962e-06
1158848963,1158855859,05000US37063,9.7277773521377e-05
1158848963,1158855861,05000US37145,0.115025738916005
1158848963,1158855917,05000US37077,3.8600385907596e-05
1158848965,1158855937,05000US37007,0.0657018195171312
1158848965,1158856003,05000US37179,8.8736521361312e-05
1158848967,1158855855,05000US37109,0.0679866242537609
1158848967,1158855973,05000US37035,0.000988652998973724
1158848969,1158855909,05000US37011,0.000309126695381178
1158848969,1158856005,05000US37121,0.102922820182606
1158848969,1158856015,05000US37199,0
1158848971,1158855853,05000US37155,0.00212891797841375
1158848975,1158855891,05000US37005,2.88611004937684e-05
1158848975,1158855895,05000US37193,0
1158848975,1158856059,05000US37171,0.0781512820211651
1158848977,1158855987,05000US37101,0.0166506049611383
1158848977,1158856027,05000US37183,0
1158848979,1158855857,05000US37027,1.35488823484583e-07
1158848979,1158855973,05000US37035,0
1158848979,1158856019,05000US37023,0.024321280948018
1158848981,1158855951,05000US37081,0.00216096477926719
1158848983,1158855941,05000US37135,0.00128224705593602
1158848985,1158856059,05000US37171,0.00313610064198958
1158848987,1158856027,05000US37183,0.00441992580326249
1158848989,1158856067,05000US37047,0.0247254125593114
1158848993,1158855945,05000US37195,3.37014838413285e-05
1158848993,1158855987,05000US37101,6.95769658228621e-09
1158848993,1158856021,05000US37191,0.0658709241794062
1158848995,1158855881,05000US37025,1.66635833013223e-05
1158848995,1158855991,05000US37167,0.0796846242907228
1158848997,1158855997,05000US37129,0.00450517854202624
1158848997,1158856001,05000US37141,0
1158848997,1158856051,05000US37019,0
1158848999,1158855847,05000US37057,0.0864472658813482
1158848999,1158855865,05000US37151,1.89307497604057e-08
1158848999,1158855873,05000US37159,5.89761151240622e-05
1158848999,1158856053,05000US37123,7.92273032320122e-08
1158849001,1158855889,05000US37031,0.0177248538393069
1158849001,1158855943,05000US37049,6.36799537129656e-06
1158849003,1158855895,05000US37193,6.272244477024e-06
1158849003,1158856017,05000US37197,1.26592326034317e-05
1158849003,1158856059,05000US37171,0.00483433582784429
1158849007,1158855985,05000US37071,0.0183880827835801
1158849007,1158856013,05000US37119,1.70381155270624e-05
1158849011,1158855951,05000US37081,0.0013354504151316
1158849013,1158855875,05000US37051,0.00236547087958655
1158849015,1158855987,05000US37101,0
1158849015,1158856027,05000US37183,0.00456715800356155
1158849019,1158855933,05000US37161,1.78146558987549e-05
1158849019,1158856025,05000US37111,2.71650219965664e-05
1158849019,1158856037,05000US37021,0.0648539012099165
1158849019,1158856043,05000US37089,4.12480331292503e-05
1158849021,1158855889,05000US37031,0
1158849021,1158855943,05000US37049,0.0180945982350287
1158849021,1158856033,05000US37103,3.2157089848484e-05
1158849023,1158855853,05000US37155,6.10812898967109e-05
1158849023,1158855969,05000US37017,8.99653812310631e-06
1158849023,1158856067,05000US37047,0.0797440253601821
1158849025,1158855843,05000US37037,0.0568700272534227
1158849029,1158855955,05000US37097,1.25109681755927e-05
1158849029,1158855973,05000US37035,0.0572125113025572
1158849031,1158855905,05000US37189,5.07824961324212e-05
1158849031,1158856049,05000US37009,0.0613273703178841
1158849033,1158855985,05000US37071,0
1158849033,1158856013,05000US37119,0.0047784973901412
1158849035,1158856031,05000US37053,5.03688827559996e-05
1158849035,1158856063,05000US37055,0.0230908190736532
1158849037,1158855969,05000US37017,1.59120964219198e-05
1158849037,1158856001,05000US37141,0.0488056134970003
1158849037,1158856051,05000US37019,1.21199962776676e-09
1158849037,1158856067,05000US37047,6.79590915793292e-05
1158849039,1158856027,05000US37183,0.000851970275203747
1158849041,1158855895,05000US37193,0.0158153743888538
1158849043,1158855859,05000US37063,0.100350397751667
1158849043,1158855917,05000US37077,0
1158849043,1158856027,05000US37183,0.000528782967342523
1158849047,1158855857,05000US37027,0
1158849047,1158856019,05000US37023,0.0178379662969456
1158849049,1158855909,05000US37011,0.0881900670088345
1158849049,1158856005,05000US37121,1.63941739111283e-05
1158849049,1158856019,05000US37023,0
1158849049,1158856025,05000US37111,2.0589966638288e-05
1158849051,1158856059,05000US37171,0.0569158765880468
1158849053,1158856009,05000US37065,0
1158849053,1158856045,05000US37127,0.00466711803422896
1158849055,1158855861,05000US37145,5.11497058152768e-05
1158849055,1158855917,05000US37077,0.123287316458562
1158849057,1158855979,05000US37113,0.0226203527336727
1158849059,1158855895,05000US37193,0.0237596010035751
1158849059,1158856059,05000US37171,0
1158849061,1158855965,05000US37085,0.0891759522849177
1158849061,1158855987,05000US37101,2.8576277212441e-05
1158849065,1158855875,05000US37051,0.00245675579993066
1158849067,1158855845,05000US37001,3.71594598700979e-05
1158849067,1158855951,05000US37081,0.0303054275343238
1158849069,1158855989,05000US37015,0.0306600196545305
1158849069,1158856041,05000US37117,0
1158849071,1158855951,05000US37081,0.0009633289149843
1158849073,1158855859,05000US37063,0.00322832897956062
1158849073,1158855941,05000US37135,0
1158849073,1158856027,05000US37183,0
1158849075,1158855959,05000US37091,4.66032743537808e-05
1158849075,1158855989,05000US37015,0.064059707323299
1158849075,1158856035,05000US37041,0.000134493144503027
1158849077,1158855945,05000US37195,3.79512971039742e-05
1158849077,1158855995,05000US37079,0.139124211271391
1158849077,1158855999,05000US37147,1.19171068456221e-05
1158849077,1158856021,05000US37191,0
1158849079,1158856027,05000US37183,0.00091566468637021
1158849083,1158855873,05000US37159,0
1158849083,1158855955,05000US37097,0.0607844911222575
1158849083,1158856023,05000US37059,4.86433452068923e-06
1158849085,1158855853,05000US37155,0.00781899748386785
1158849087,1158855847,05000US37057,0
1158849087,1158855915,05000US37067,0.00905897601916913
1158849089,1158856031,05000US37053,5.02195020190088e-06
1158849089,1158856063,05000US37055,0.0185012864989241
1158849091,1158855869,05000US37131,2.50313720551905e-05
1158849091,1158855931,05000US37073,0.000142513115198807
1158849091,1158855959,05000US37091,0.133467607542568
1158849093,1158855905,05000US37189,0
1158849093,1158855909,05000US37011,0.0221768257982478
1158849095,1158855857,05000US37027,0.0109567161204526
1158849095,1158855973,05000US37035,0
1158849095,1158856019,05000US37023,1.07846510561453e-10
1158849097,1158855869,05000US37131,0.0512777912408025
1158849097,1158855899,05000US37083,0
1158849097,1158855959,05000US37091,0.000167572333620761
1158849101,1158855943,05000US37049,0
1158849101,1158856007,05000US37133,0.0529855263097253
1158849101,1158856033,05000US37103,0.000117160029070914
1158849103,1158855877,05000US37153,0.0596112183232924
1158849103,1158855937,05000US37007,6.57206702696505e-05
1158849105,1158855853,05000US37155,0.00743740272836814
1158849107,1158856013,05000US37119,0.0013208535737811
1158849109,1158855857,05000US37027,0
1158849109,1158856019,05000US37023,0.00377194518782375
1158849111,1158855859,05000US37063,0.000530763156925407
1158849111,1158856027,05000US37183,0.017920608562442
1158849113,1158855915,05000US37067,0.00245628164979362
1158849115,1158855899,05000US37083,0
1158849115,1158855919,05000US37185,0.087771390682741
1158849119,1158856003,05000US37179,0.0172677208171928
1158849119,1158856013,05000US37119,0
1158849121,1158855997,05000US37129,0.0997871325003607
1158849121,1158856001,05000US37141,7.54616818338634e-05
1158849121,1158856051,05000US37019,0
1158849123,1158855887,05000US37169,4.45937773939076e-06
1158849123,1158855915,05000US37067,0.0207026066553059
1158849125,1158855997,05000US37129,0.0258259598407285
1158849125,1158856001,05000US37141,0
1158849127,1158855907,05000US37173,1.01106934181391e-06
1158849127,1158855929,05000US37075,3.28517424452268e-06
1158849127,1158855971,05000US37039,4.83645116162315e-05
1158849127,1158855979,05000US37113,0.144015703158691
1158849127,1158856061,05000US37043,0.000128208853806367
1158849129,1158855949,05000US37087,5.63340725011568e-05
1158849129,1158856043,05000US37089,0
1158849129,1158856057,05000US37175,0.124705000552988
1158849131,1158855875,05000US37051,8.05765332010901e-05
1158849131,1158855901,05000US37163,0.0307740700315111
1158849133,1158855859,05000US37063,0
1158849133,1158856027,05000US37183,0.00250094848256512
1158849137,1158855863,05000US37115,7.86232649130368e-07
1158849137,1158856037,05000US37021,0.0176260303227128
1158849139,1158855987,05000US37101,0.0283867310052458
1158849139,1158856027,05000US37183,1.31796361355685e-05
1158849141,1158855881,05000US37025,0
1158849141,1158856003,05000US37179,0
1158849141,1158856013,05000US37119,0.00191927844104637
1158849143,1158855865,05000US37151,9.37440779054695e-09
1158849143,1158856053,05000US37123,0.0705632304828992
1158849145,1158855955,05000US37097,0.00689065745673654
1158849147,1158855869,05000US37131,0.0821775650199145
1158849147,1158855899,05000US37083,1.32561690665966e-05
1158849149,1158855941,05000US37135,0.0208315590391396
1158849151,1158855947,05000US37061,0.000124985141682308
1158849151,1158856021,05000US37191,0.00441484726420441
1158849155,1158855873,05000US37159,0.00413420423618866
1158849155,1158856013,05000US37119,0
1158849157,1158856027,05000US37183,0.00860283027267424
1158849159,1158855855,05000US37109,0.010822356997102
