State House District,Winning Party,Incumbent Party,Democrat,Republican,Other
District 101,D,O,Carolyn Logan,Paul Mauney,
District 102,D,D,Becky Carney (i),Tyler Norris,
District 103,R,R,Rachel Hunt,William Brawley (i),
District 104,D,R,Brandon Lofton,Andy Dulin (i),
District 105,D,R,Wesley Harris,Scott Stone (i),
District 106,D,D,Carla Cunningham (i),Geovani Sherow,
District 107,D,D,"Kelly Alexander, Jr. (i)",,
District 108,R,R,Robert Kellogg,John Torbett (i),
District 109,R,R,Susan Maxon,Dana Bumgardner (i),
District 110,R,R,Christy Mccleary,Kelly Hastings (i),
District 111,R,R,David Brinkley,Timothy K. Moore (i),
District 112,R,R,Gregory Gallagher,David Rogers (i),
District 113,R,R,Samuel Edney,Cody Henson (i),
District 114,D,D,Susan Fisher (i),Kris Lindstam,
District 115,D,D,John Ager (i),Amy Evans,
District 116,D,D,Brian Turner (i),Marilyn Brown,
District 117,R,R,Gayle Kemp,Charles McGrady (i),
District 118,R,R,Rhonda Schandevel,Michele Presnell (i),
District 119,D,R,Joe Sam Queen,Mike Clampitt (i),
District 120,R,R,Aaron Martin,Kevin Corbin (i),
